,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Hoffenheim,Hoffenheim,Hoffenheim,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Monaco,Monaco
1,7.667,7.667,7.667,18.0,14.222,11.0,18.0,12.833,15.0
2,"€45,788.00","€91,712.00","€94,923.00","€95,827.00","€50,000.00","€87,692.00","€69,231.00","€69,231.00","€69,231.00"
3,33,32,33,23,31,34,27,35,34
4,11,8,8,6,14,14,10,16,9
5,5,5,7,2,3,8,7,7,9
6,261,333,341,246,185,201,205,174,271
7,,,,,,,,,1
8,64,49,46,27,34,49,28,32,27
9,3,8,5,5,10,9,7,13,11
10,97%,94%,94%,70%,97%,94%,89%,97%,85%
11,1,2,2,7,2,2,4,1,5
12,97%,94%,97%,68%,91%,100%,79%,97%,89%
13,4,6,7,3,4,4,3,4,10
14,,,,1,,,,,
15,30%,34%,27%,22%,45%,53%,52%,63%,53%
16,33%,25%,27%,22%,29%,12%,19%,14%,26%
17,36%,41%,45%,57%,26%,35%,30%,23%,21%
